District,Block,Village,Avg_Actual_2024,Avg_Predicted_2024,Avg_Predicted_2025,Avg_Difference,Avg_Abs_Difference,Risk_Level
Chandrapur,Rajura,Kalmana,4.86,5.872,5.905,-1.792,1.792,MODERATE
Chandrapur,Rajura,Korpana,5.58,5.404,6.158,-0.378,1.158,MODERATE
Chandrapur,Rajura,Patan,4.41,4.767,4.922,-0.884,0.884,SAFE
Chandrapur,Rajura,Rajura,4.95,5.342,5.396,-1.372,1.69,MODERATE
Chandrapur,Rajura,Sondo,5.72,5.016,5.127,-0.056,0.534,MODERATE
Chandrapur,Rajura,Wansadi,4.075,4.355,4.424,-0.897,0.897,SAFE
Chandrapur,Rajura,Warur Road,6.55,4.683,4.68,0.027,0.107,SAFE
Chandrapur,Rajura,Wirur,4.31,3.443,3.951,-0.301,0.301,SAFE
Chandrapur,Sindewahi,Alesur,5.935,4.066,4.217,0.388,1.168,SAFE
Chandrapur,Sindewahi,Ladbori,7.1,4.212,4.475,1.509,4.233,MODERATE
Chandrapur,Sindewahi,Maregaon,8.8,7.551,6.933,-0.286,0.53,MODERATE
Chandrapur,Sindewahi,Meha Bk,7.61,5.048,5.437,0.406,0.588,MODERATE
Chandrapur,Sindewahi,Niphandra,2.85,2.956,2.912,-1.164,1.164,SAFE
Chandrapur,Sindewahi,Sakhri,4.895,4.381,4.713,-1.286,1.286,SAFE
Chandrapur,Sindewahi,Sindewahi,4.76,4.053,4.252,-0.728,0.728,SAFE
Chandrapur,Sindewahi,Tambegadi Mendha,6.45,4.378,5.345,1.06,1.06,MODERATE
Chandrapur,Warora,Anandwan,4.76,3.874,4.058,-0.254,0.555,SAFE
Chandrapur,Warora,Barwha,2.85,2.668,3.126,-0.043,0.849,SAFE
Chandrapur,Warora,Chargaon,4.975,5.084,5.132,-0.91,0.91,MODERATE
Chandrapur,Warora,Madheri,3.875,3.624,4.086,-0.776,0.776,SAFE
Chandrapur,Warora,Ralegaon,8.35,6.476,6.928,0.252,0.272,MODERATE
Chandrapur,Warora,Rampur,4.4,3.208,3.529,0.724,1.078,SAFE
Chandrapur,Warora,Salori,4.09,4.439,4.644,-0.188,1.578,SAFE
Chandrapur,Warora,Shegaon,4.35,4.038,4.269,-1.138,1.138,SAFE
Chandrapur,Warora,Wahangaon,7.8,8.081,7.811,-1.8,1.8,MODERATE
Chandrapur,Warora,Wandli,9.11,11.391,11.225,-3.829,3.829,HIGH
Chandrapur,Warora,Warora,6.01,5.248,5.032,-2.246,2.316,MODERATE
Chandrapur Bhadrawati,Musad,Visapur,6.65,6.794,7.167,-1.418,1.418,MODERATE
Chandrapur Bhadrawati,Shergaon,Khurd,6.65,5.315,5.7,-0.52,1.505,MODERATE
Chandrapur Brahmapuri,Tumdi,Menda,6.65,5.79,6.174,-0.722,1.303,MODERATE
Chandrapur Gondpipri,Navegaon,More,6.65,5.473,5.79,-0.518,1.507,MODERATE
Chandrapur Mul,Rajoli,Tukkum,6.65,5.22,5.39,-0.459,1.566,MODERATE
Chandrapur Mul,Wihar,Khurd,6.65,5.32,5.585,-0.52,1.505,MODERATE
Chandrapur Nagbhid,Balapur,(Bk),6.65,5.226,5.418,-0.441,1.584,MODERATE
Chandrapur Nagbhid,Mohadi,Mokasa,6.65,5.661,6.113,-0.609,1.416,MODERATE
Chandrapur Rajura,Warur,Road,6.65,5.717,6.144,-0.516,1.509,MODERATE
Chandrapur Sindewahi,Meha,Bk,6.65,5.885,6.291,-0.601,1.424,MODERATE
Chandrapur Sindewahi,Tambegadi,Mendha,6.65,6.094,6.591,-0.632,1.394,MODERATE
Chhatrapati Sambhajinagar,Aurangabad,Adgaon,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Aurangabad,Apatgaon,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Aurangabad,Ashrafpur,15.35,9.335,9.786,5.772,5.772,HIGH
Chhatrapati Sambhajinagar,Aurangabad,Aurangabad,5.59,5.466,5.54,0.269,1.144,MODERATE
Chhatrapati Sambhajinagar,Aurangabad,Aurangabad City,10.225,7.25,7.675,2.057,2.057,MODERATE
Chhatrapati Sambhajinagar,Aurangabad,Babhra,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Aurangabad,Bhalgaon,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Aurangabad,Bodhegaon,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Aurangabad,Chauka,4.45,3.814,4.294,0.189,1.053,SAFE
Chhatrapati Sambhajinagar,Aurangabad,Chitegaon,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Aurangabad,Dongargaon Kawad,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Aurangabad,Ganori,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Aurangabad,Gavarai,11.925,8.018,8.792,3.052,3.052,MODERATE
Chhatrapati Sambhajinagar,Aurangabad,Georai Paiga,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Aurangabad,Girnar,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Aurangabad,Girsavli,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Aurangabad,Gode Jalgaon,12.225,7.026,7.515,4.828,4.828,MODERATE
Chhatrapati Sambhajinagar,Aurangabad,Jathwa,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Aurangabad,Kadrabad,15.6,10.616,10.424,5.2,5.2,HIGH
Chhatrapati Sambhajinagar,Aurangabad,Kankora,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Aurangabad,Karmad,9.8,6.948,7.104,2.272,2.272,MODERATE
Chhatrapati Sambhajinagar,Aurangabad,Kolghar,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Aurangabad,Lamkanwadi,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Aurangabad,Marsavli,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Aurangabad,Morhir,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Aurangabad,Mursidabadwadi,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Aurangabad,Naigaon,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Aurangabad,Naigaon Aland,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Aurangabad,Naregaon Gopalpur,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Aurangabad,Nipani,13.95,9.6,10.635,4.35,4.35,HIGH
Chhatrapati Sambhajinagar,Aurangabad,Ohar,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Aurangabad,Panchakki,7.21,6.516,6.671,1.547,1.547,MODERATE
Chhatrapati Sambhajinagar,Aurangabad,Pandhari Pimpalgaon,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Aurangabad,Patri,9.1,5.104,5.626,3.432,3.432,MODERATE
Chhatrapati Sambhajinagar,Aurangabad,Pimpalkutha,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Aurangabad,Sangvi Tuljapur,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Aurangabad,Satara Tanda,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Aurangabad,Shekta,7.95,6.838,7.028,0.482,0.482,MODERATE
Chhatrapati Sambhajinagar,Aurangabad,Shendra,18.1,12.853,13.585,5.842,5.842,HIGH
Chhatrapati Sambhajinagar,Aurangabad,Shevga,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Aurangabad,Sonori,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Aurangabad,Tisgaon,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Aurangabad,Umravati,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Aurangabad,Wadod Bazar,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Aurangabad,Waghola,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Aurangabad,Wanegaon,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Aurangabad,Warjhadi,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Gangapur,Agar Kanad Gaon,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Gangapur,Ambegaon,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Gangapur,Apegaon,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Gangapur,Bhoygaon,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Gangapur,Dahegaon Bangla,10.925,8.057,8.618,1.52,1.52,MODERATE
Chhatrapati Sambhajinagar,Gangapur,Dhoregaon,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Gangapur,Fatiabad,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Gangapur,Gangapur,7.7,4.296,4.986,3.242,3.778,MODERATE
Chhatrapati Sambhajinagar,Gangapur,Ghanegaon,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Gangapur,Hadiyabad,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Gangapur,Hakigatpur,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Gangapur,Jambhala,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Gangapur,Kaigaon,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Gangapur,Kasoda,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Gangapur,Katepimpalgaon,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Gangapur,Limbe Jalgaon,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Gangapur,Mahebubkhed,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Gangapur,Murmi,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Gangapur,Narayanpur,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Gangapur,Patchpirwadi,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Gangapur,Pimpalkheda,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Gangapur,Sanav,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Gangapur,Shahapur,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Gangapur,Shivpur,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Gangapur,Shivrai,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Gangapur,Sillegaon,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Gangapur,Siresaigaon,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Gangapur,Tarpimpri,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Gangapur,Wahegaon,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Gangapur,Warkhed,7.2,4.87,5.372,1.74,1.74,MODERATE
Chhatrapati Sambhajinagar,Gangapur,Warzadi,5.8,5.611,5.621,-0.573,0.573,MODERATE
Chhatrapati Sambhajinagar,Gangapur,Yesgaon,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Kanand,Aurala,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Kanand,Bhokargaon,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Kanand,Chinchkheda,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Kanand,Chivli,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Kanand,Devgaon,8.775,7.116,7.798,1.119,1.423,MODERATE
Chhatrapati Sambhajinagar,Kanand,Digar Pishore,6.25,5.709,6.26,-0.204,2.15,MODERATE
Chhatrapati Sambhajinagar,Kanand,Dongaon,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Kanand,Gaholi,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Kanand,Haraswadi,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Kanand,Hasta,11.55,7.752,7.48,2.573,2.573,MODERATE
Chhatrapati Sambhajinagar,Kanand,Hatnur,9.725,5.518,6.362,2.988,2.988,MODERATE
Chhatrapati Sambhajinagar,Kanand,Jaitkheda,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Kanand,Jamdi,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Kanand,Javli,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Kanand,Kanadgaon,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Kanand,Kannad,11.625,7.674,8.384,3.218,3.218,MODERATE
Chhatrapati Sambhajinagar,Kanand,Karanjkhed,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Kanand,Kinnal,9.4,5.015,5.358,4.248,4.248,MODERATE
Chhatrapati Sambhajinagar,Kanand,Mehun,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Kanand,Mohalda Tanda,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Kanand,Mungsapur,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Kanand,Nachenvel,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Kanand,Nadarapur,15.05,10.333,10.515,3.888,3.888,HIGH
Chhatrapati Sambhajinagar,Kanand,Nagad,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Kanand,Nagapur,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Kanand,Saigavhan,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Kanand,Sirasgaon,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Kanand,Vaki Kadam,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Kanand,Vita,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Kanand,Vithkhede,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Khultabad,Bodhka,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Khultabad,Golegaon,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Khultabad,Kasabkheda,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Khultabad,Khultabad,12.1,9.696,9.712,1.398,1.398,MODERATE
Chhatrapati Sambhajinagar,Khultabad,Lamangaon,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Khultabad,Pipri,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Khultabad,Verul Tanda,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Khultabad,Walur Tanda,7.885,6.173,6.977,1.195,1.195,MODERATE
Chhatrapati Sambhajinagar,Khultabad,Yesgaon,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Khultabad,Zari,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Paithan,Adgaon,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Paithan,Adul,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Paithan,Aliyabad,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Paithan,Anandpur,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Paithan,Bidkin,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Paithan,Bokud Jalgaon,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Paithan,Borigaon,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Paithan,Brahmangaon,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Paithan,Bramhgaon,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Paithan,Chitegaon,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Paithan,Dadegaon,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Paithan,Dadhegaon,9.65,8.037,8.698,0.648,0.684,MODERATE
Chhatrapati Sambhajinagar,Paithan,Dawarwadi,11.0,7.617,7.715,2.838,2.838,MODERATE
Chhatrapati Sambhajinagar,Paithan,Dhakephal,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Paithan,Dinnapur,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Paithan,Diyanatpur,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Paithan,Dongaon,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Paithan,Gaontanda,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Paithan,Gazipur,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Paithan,Hiradpuri,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Paithan,Jambli,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Paithan,Kakat Jalgaon,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Paithan,Karlin,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Paithan,Katpur,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Paithan,Lohagaon,13.725,6.748,7.291,7.07,7.07,HIGH
Chhatrapati Sambhajinagar,Paithan,Mharora,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Paithan,Murma,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Paithan,Navgaon,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Paithan,Pachod,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Paithan,Pachud,13.975,7.991,9.229,4.879,4.879,MODERATE
Chhatrapati Sambhajinagar,Paithan,Paithan,7.7,6.201,6.139,1.595,3.486,MODERATE
Chhatrapati Sambhajinagar,Paithan,Rahatgaon,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Paithan,Shevata,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Paithan,Taherpur,12.4,9.393,9.669,1.733,1.852,MODERATE
Chhatrapati Sambhajinagar,Paithan,Takli Ambad,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Paithan,Thapati Thanda,14.325,8.243,8.552,4.644,4.644,MODERATE
Chhatrapati Sambhajinagar,Paithan,Wadji,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Sillod,Aalandh,11.15,9.06,9.426,0.812,0.944,MODERATE
Chhatrapati Sambhajinagar,Sillod,Ajanta,3.15,3.33,3.585,-0.529,1.233,SAFE
Chhatrapati Sambhajinagar,Sillod,Balapur,5.55,5.903,5.758,-0.218,4.222,MODERATE
Chhatrapati Sambhajinagar,Sillod,Bharadi,9.15,7.312,7.484,1.058,2.754,MODERATE
Chhatrapati Sambhajinagar,Sillod,Borgaon Bazar,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Sillod,Golegaon Budruk,8.175,6.42,7.275,0.948,0.999,MODERATE
Chhatrapati Sambhajinagar,Sillod,Kaigaon,9.25,5.916,6.257,3.324,3.324,MODERATE
Chhatrapati Sambhajinagar,Sillod,Sillod,7.95,4.374,5.263,3.375,3.375,MODERATE
Chhatrapati Sambhajinagar,Sillod,Sonappawadi,13.1,9.727,9.753,2.472,3.356,MODERATE
Chhatrapati Sambhajinagar,Soegaon,Fardapur,10.0,8.085,7.984,0.083,1.474,MODERATE
Chhatrapati Sambhajinagar,Soegaon,Jangla Tanda,7.675,6.056,6.476,1.193,1.193,MODERATE
Chhatrapati Sambhajinagar,Soegaon,Soyegaon,12.9,8.467,8.781,3.756,3.756,MODERATE
Chhatrapati Sambhajinagar,Vaijapur,Aghur,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Vaijapur,Bhadli,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Vaijapur,Bhaigaon Ganga,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Vaijapur,Bhaigaon Vaijapur,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Vaijapur,Bhivgaon,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Vaijapur,Bhokargaon,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Vaijapur,Borsar,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Vaijapur,Chandegaon,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Vaijapur,Garaj,12.075,7.716,8.643,4.106,4.106,MODERATE
Chhatrapati Sambhajinagar,Vaijapur,Golwadi,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Vaijapur,Hadas Pimpalgaon,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Vaijapur,Jambargaon,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Vaijapur,Jathegaon,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Vaijapur,Kanak Sagaj,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Vaijapur,Khandala,16.28,7.738,8.12,7.608,7.608,HIGH
Chhatrapati Sambhajinagar,Vaijapur,Kolhi,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Vaijapur,Lakhaganga,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Vaijapur,Mahalgaon,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Vaijapur,Manoor,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Vaijapur,Nagina Pimpalgaon,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Vaijapur,Naigavhan,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Vaijapur,Palkhed,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Vaijapur,Panvi Bk,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Vaijapur,Parala,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Vaijapur,Parsoda,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Vaijapur,Pimpalgaon,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Vaijapur,Rotegaon,10.7,8.578,8.604,1.51,1.51,MODERATE
Chhatrapati Sambhajinagar,Vaijapur,Sakegaon,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Vaijapur,Sawakhedganga,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Vaijapur,Shivgaon,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Vaijapur,Shivoor,10.65,6.694,7.496,3.252,3.252,MODERATE
Chhatrapati Sambhajinagar,Vaijapur,Songaon,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Vaijapur,Surala,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Vaijapur,Tikarkheda,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Vaijapur,Tunki,11.85,7.344,8.002,4.512,4.512,MODERATE
Chhatrapati Sambhajinagar,Vaijapur,Vaijapur,13.25,5.898,6.955,6.843,6.843,HIGH
Chhatrapati Sambhajinagar,Vaijapur,Wadji,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar,Vaijapur,Waghalgaon,10.375,7.646,8.2,1.652,1.652,MODERATE
Chhatrapati Sambhajinagar,Vaijapur,Wakla,10.225,6.864,7.351,2.828,2.828,MODERATE
Chhatrapati Sambhajinagar Aurangabad,Aurangabad,City,6.7,6.626,6.847,-1.013,1.03,MODERATE
Chhatrapati Sambhajinagar Aurangabad,Dongargaon,Kawad,8.275,7.007,7.331,0.512,2.266,MODERATE
Chhatrapati Sambhajinagar Aurangabad,Georai,Paiga,8.275,7.007,7.331,0.512,2.266,MODERATE
Chhatrapati Sambhajinagar Aurangabad,Gode,Jalgaon,9.85,7.9,8.17,0.457,5.446,HIGH
Chhatrapati Sambhajinagar Aurangabad,Naregaon,Gopalpur,8.275,7.007,7.331,0.512,2.266,MODERATE
Chhatrapati Sambhajinagar Aurangabad,Pandhari,Pimpalgaon,8.275,7.007,7.331,0.512,2.266,MODERATE
Chhatrapati Sambhajinagar Aurangabad,Sangvi,Tuljapur,8.275,7.007,7.331,0.512,2.266,MODERATE
Chhatrapati Sambhajinagar Aurangabad,Satara,Tanda,8.275,7.007,7.331,0.512,2.266,MODERATE
Chhatrapati Sambhajinagar Aurangabad,Wadod,Bazar,8.275,7.007,7.331,0.512,2.266,MODERATE
Chhatrapati Sambhajinagar Gangapur,Dahegaon,Bangla,10.1,10.007,9.83,-1.816,3.35,MODERATE
Chhatrapati Sambhajinagar Gangapur,Limbe,Jalgaon,10.1,10.007,9.83,-1.816,3.35,MODERATE
Chhatrapati Sambhajinagar Gangapur Agar,Kanad,Gaon,6.65,6.008,6.367,-0.722,1.303,MODERATE
Chhatrapati Sambhajinagar Kanand,Digar,Pishore,5.9,5.485,5.483,-0.411,0.411,MODERATE
